,agent,address,beds,receptions,baths,post_code,price
0,Countrywide Scotland - Shawlands Sales,"Parklands View, Glasgow G53",2,1,2,G53,160000
1,VMH Solicitors,"Ravenscroft Gardens, Edinburgh EH17",3,1,1,EH17,199950
3,Stuart and Stuart WS,"Harrison Road, Edinburgh EH11",1,1,1,EH11,225000
4,Avenue Road Estate Agents,"7 Southhouse Crescent, Edinburgh EH17",3,2,2,EH17,210000
5,Corrigall Black,"Fearnoch Mill, Kilfinan, Tighnabruaich PA21",3,2,2,PA21,250000
6,DM Property,"Drum View Avenue, Danderhall, Dalkeith EH22",3,1,1,EH22,140000
7,Yopa,"Cross Street, Broughty Ferry, Dundee DD5",2,1,1,DD5,180000
8,Clancys Solicitors,"54 North Bughtlinside, Edinburgh EH12",1,1,1,EH12,150000
10,Blair Cadell,"3/2 Buccleuch Street, Edinburgh EH8",2,1,1,EH8,250000
11,Murray Beith Murray,"Jubilee Cottage, 2 Kingston Avenue, Liberton, Edinburgh EH16",1,1,1,EH16,160000
12,Neilsons Solicitors & Estate Agents,"St Hildas, 81/2 Kirk Brae, Edinburgh EH16",2,1,1,EH16,290000
13,Warners,"5 Lidgate Shot, Ratho, Newbridge EH28",3,1,2,EH28,360000
14,Warners,"41 Kilburn Wood Drive, Roslin EH25",4,2,3,EH25,480000
15,Warners,"12 Mckinlay Terrace, Loanhead EH20",2,1,1,EH20,130000
16,Warners,"82/7 Inchview Terrace, Edinburgh EH7",3,1,2,EH7,295000
17,Lindsays,"114/8, Crewe Road North, Crewe, Edinburgh EH5",3,1,2,EH5,375000
18,Lindsays,"Lygon Road, Newington, Edinburgh EH16",4,3,2,EH16,840000
19,Lindsays,"The Bield, High Street, Errol, Perth PH2",2,1,1,PH2,115000
20,DM Property,"44/1 Temple Park Crescent, Polwarth, Edinburgh EH11",1,1,1,EH11,210000
21,Warners,"28 Gogarloch Haugh, South Gyle, Edinburgh EH12",2,1,1,EH12,215000
22,Clancys Solicitors,"80 The Paddockholm, Edinburgh EH12",2,1,1,EH12,200000
23,Stuart and Stuart WS,"Royal Court, Penicuik EH26",3,2,1,EH26,200000
24,Slater Hogg & Howison - Candleriggs Sales,"Upper Bell Street, Bell Street, Merchant City, Glasgow G4",2,1,2,G4,219500
26,Warners,"28 Gogarloch Haugh, South Gyle, Edinburgh EH12",2,1,1,EH12,215000
27,Countrywide Scotland - Shawlands Sales,"Parklands View, Glasgow G53",2,1,2,G53,160000
28,DM Property,"Drum View Avenue, Danderhall, Dalkeith EH22",3,1,1,EH22,140000
